序号,重点词汇,中文义项,常见词形,备考建议,总出现次数,覆盖真题套数
86,car,车；汽车；轿车,"car, cared, caring, cars",重点熟悉,43,12
87,actually,实际上；其实；事实上,actually,重点熟悉,42,21
88,avoid,避免；忌；防止,"avoid, avoided, avoiding",重点熟悉,42,20
89,control,控制；管制；控,"control, controlled, controlling, controls",重点熟悉,42,11
90,grow,生长；增长；发展,"grow, growing, grows",重点熟悉,41,19
91,university,大学；学院,"university, universities",重点熟悉,41,18
92,game,游戏；比赛；赛,"game, games",重点熟悉,41,13
93,fruit,水果；果；果实,"fruit, fruits",重点熟悉,41,10
94,age,年龄；时代；年纪,"age, ageing, ages",重点熟悉,40,18
95,country,国家；国；乡村,"country, countries",重点熟悉,40,12
96,meat,肉；肉类；肉食,"meat, meats",重点熟悉,40,9
97,allow,允许；让；容许,"allow, allowed, allowing, allows",重点熟悉,39,22
98,quality,质量；品质；素质,"quality, qualities",重点熟悉,39,19
99,improve,提升；提高；改善,"improve, improves",重点熟悉,39,18
100,right,正确的；权利；右,"right, rights",重点熟悉,39,16
101,parent,家长；亲；父母亲,"parent, parenting, parents",重点熟悉,39,14
102,among,之中；其中；之间,among,重点熟悉,38,21
103,greater,更大；优胜；优越,greater,重点熟悉,38,21
104,provide,提供；规定；供给,"provide, provides",重点熟悉,38,21
105,great,伟大的；大；伟大,great,重点熟悉,38,20
106,believe,相信；认为；信,"believe, believes",重点熟悉,38,19
107,ability,能力；才能；能,"ability, abilities",重点熟悉,38,17
108,affect,影响；作用；关系,"affect, affected, affecting, affects",重点熟悉,38,17
109,reason,原因；理性；理由,"reason, reasoned, reasoning, reasons",重点熟悉,38,17
110,exercise,锻炼；行使；练习,"exercise, exercises",重点熟悉,38,14
111,office,办公室；办事处；厅,"office, offices",重点熟悉,38,13
112,space,空间；间隙；场地,"space, spaces",重点熟悉,38,13
113,system,系统；体系；制度,"system, systems",重点熟悉,38,13
114,engineer,工程师；技师；制造,"engineer, engineering, engineers",可以积累,38,8
115,possible,可能的；可能；可以,possible,重点熟悉,37,20
116,focus,重点；焦点；议题,"focus, focused, focusing",重点熟悉,37,19
117,impact,影响；碰撞；弹着,"impact, impacted, impacting, impacts",重点熟悉,37,17
118,career,职业；事业；生涯,"career, careers",重点熟悉,37,15
119,activity,活动；活度；行为,"activity, activities",重点熟悉,37,14
120,adult,成人；成年；人,"adult, adults",重点熟悉,37,12
121,science,科学；理科；学术,"science, sciences",重点熟悉,37,11
122,fund,基金；经费；钱,"fund, funded, funding, funds",重点熟悉,37,10
123,dream,梦；梦想；做梦,"dream, dreamed, dreaming, dreams",可以积累,37,9
124,test,测试；试验；试,"test, tested, testing, tests",重点熟悉,36,12
125,give,给；给予；赐给,"give, gives",重点熟悉,35,22
126,level,等级；水平；级别,"level, leveled, levels",重点熟悉,35,21
127,create,创造；创建；制造,"create, creates",重点熟悉,35,18
128,local,当地的；本地；当地,"local, locals",重点熟悉,35,18
129,support,支持；支撑；支援,"support, supported, supporting, supports",重点熟悉,35,18
130,form,形式；形成；构成,"form, formed, forming, forms",重点熟悉,35,17
131,set,放；组；集,"set, sets, setting",重点熟悉,35,17
132,course,课程；过程；进程,"course, courses",重点熟悉,35,16
133,offer,提供；献；供,"offer, offered, offering, offers",重点熟悉,35,15
134,data,数据；资料；材料,data,重点熟悉,35,14
135,hand,手；巴掌；人,"hand, handed, hands",重点熟悉,35,14
136,traditional,传统的；遗传；惯例的,traditional,重点熟悉,35,14
137,state,状态；州；国,"state, states",重点熟悉,35,13
138,natural,自然的；自然；天然,natural,重点熟悉,35,12
139,obesity,肥胖,obesity,可以积累,35,7
140,teen,青少年；愤怒,teens,可以积累,35,5
141,contribute,贡献；有助于；捐助,"contribute, contributed, contributes, contributing",重点熟悉,34,19
142,recent,最近的；最近；近代的,recent,重点熟悉,34,19
143,reduce,减少；降低；缩小,"reduce, reduces",重点熟悉,34,19
144,group,团体；组；集团,"group, groups",重点熟悉,34,18
145,old,老的；旧；老,"old, olds",重点熟悉,34,17
146,rather,相当；比较；宁可,rather,重点熟悉,34,17
147,industry,行业；工业；产业,"industry, industries",重点熟悉,34,16
148,young,年轻的；年轻；小,young,重点熟悉,34,15
149,have,有；具有；拥有,having,重点熟悉,34,14
150,train,火车；培养；培训,"train, trained, training",重点熟悉,34,14
151,sport,运动；戏；嬉戏,"sport, sporting, sports",重点熟悉,34,12
152,employer,雇主；板,"employer, employers",重点熟悉,34,10
153,participant,参与者；参加者,participants,重点熟悉,34,10
154,fish,鱼；筭；捕鱼,"fish, fishing",可以积累,34,5
155,stay,停留；留；住宿,"stay, stayed, staying",重点熟悉,33,21
156,last,最后的；持续；延续,"last, lasted, lasting",重点熟悉,33,19
157,close,关闭；合；关,"close, closed, closing",重点熟悉,33,17
158,away,离开；远；远离,away,重点熟悉,33,16
159,heart,心；心脏；中心,"heart, hearted, hearts",重点熟悉,33,16
160,open,打开；开放；开,"open, opened, opening, opens",重点熟悉,33,16
161,poor,贫穷的；贫困；差,poor,重点熟悉,33,16
162,farm,农场；农庄；牧场,"farm, farmed, farming, farms",可以积累,33,9
163,seem,似乎；显得；仿佛,"seem, seemed, seeming, seems",重点熟悉,32,21
164,turn,转动；转；翻,"turn, turned, turning, turns",重点熟悉,32,20
165,attention,注意力；注意；关注,attention,重点熟悉,32,19
166,big,大的；大；长,big,重点熟悉,32,19
167,effort,努力；功夫；工夫,"effort, efforts",重点熟悉,32,18
168,expert,专家；行家；专,"expert, experts",重点熟悉,32,15
169,longer,更长；长；长期,longer,重点熟悉,32,15
170,process,过程；处理；提炼,process,重点熟悉,32,15
171,knowledge,知识；认识；知道,knowledge,重点熟悉,32,13
172,language,语言；语；文,"language, languages",重点熟悉,32,12
173,physical,身体的；物理；物质,physical,重点熟悉,32,11
174,customer,顾客；客；买主,"customer, customers",可以积累,32,9
175,emotional,情绪化的；感情的；鼓舞的,emotional,可以积累,32,9
176,move,移动；动；行动,"move, moved, moves, moving",重点熟悉,31,18
177,bring,带来；产生；促使,"bring, bringing, brings",重点熟悉,31,17
178,care,关心；关怀；在乎,care,重点熟悉,31,15
179,friend,朋友,"friend, friends",重点熟悉,31,15
180,hour,小时；时；时刻,"hour, hours",重点熟悉,31,15
181,personal,个人的；个人；人身,personal,重点熟悉,31,15
182,present,展示；当前；现在,"present, presented, presenting, presents",重点熟悉,31,15
183,rate,速度；率；速率,"rate, rates",重点熟悉,31,14
184,word,单词；字；词,"word, wording, words",重点熟悉,31,14
185,price,价格；价；价钱,"price, prices",重点熟悉,31,12
186,difficult,难的；难；困难,difficult,重点熟悉,30,17
187,person,人；人士；者,"person, persons",重点熟悉,30,17
188,lack,缺少；缺乏；缺,"lack, lacking, lacks",重点熟悉,30,16
189,environment,环境；周围；生活环境,"environment, environments",重点熟悉,30,15
190,average,平均的；平均；普通,average,重点熟悉,30,14
191,percent,百分比；百分之；百分率,percent,重点熟悉,30,14
192,connection,联系；连接；关系,"connection, connections",重点熟悉,30,11
193,restaurant,餐厅；餐馆；酒家,"restaurant, restaurants",可以积累,30,9
194,expect,预计；期望；期待,"expect, expected, expecting, expects",重点熟悉,29,17
195,popular,受欢迎的；流行；受欢迎,popular,重点熟悉,29,17
196,toward,朝向；往；对于,"toward, towards",重点熟悉,29,17
197,sense,感觉；感；意义,sense,重点熟悉,29,15
198,concern,忧虑；关心；有关,"concern, concerned, concerning, concerns",重点熟悉,29,14
199,real,真实的；真实；真正,real,重点熟悉,29,14
200,consumer,消费者,"consumer, consumers",重点熟悉,29,13
201,decade,十年；十；年代,"decade, decades",重点熟悉,29,13
202,low,低的；低；低廉,low,重点熟悉,29,13
203,power,力量；功率；动力,"power, powered, powers",重点熟悉,29,13
204,drive,驾驶；驱动；带动,"drive, drives, driving",重点熟悉,29,12
205,plant,植物；厂；株,"plant, planting, plants",可以积累,29,8
206,gender,性别；性,"gender, genders",可以积累,29,7
207,genetic,遗传的；发生的；起源的,"genetic, genetics",可以积累,29,5
208,enable,使能够；俾；使 ... 能够,"enable, enables",重点熟悉,28,16
209,hard,难的；硬；难以,hard,重点熟悉,28,16
210,him,他；之,him,重点熟悉,28,14
211,point,观点；点；指出,"point, pointed, pointing, points",重点熟悉,28,14
212,account,帐户；帐；记事,"account, accounted, accounts",重点熟悉,28,13
213,body,身体；体；机身,"body, bodies",重点熟悉,28,13
214,growth,生长；发展；发育,growth,重点熟悉,28,13
215,market,市场；销售；集市,"market, marketing, markets",重点熟悉,28,13
216,leave,离开；走；留,"leave, leaves",重点熟悉,28,10
217,website,网站；网点,"website, websites",可以积累,28,8
218,view,看法；视图；景色,"view, viewed, viewing, views",重点熟悉,27,20
219,higher,更高；高等；优越,higher,重点熟悉,27,18
220,since,自从；以来；自,since,重点熟悉,27,18
221,suffer,遭受；受苦；挨,"suffer, suffered, suffering, suffers",重点熟悉,27,18
222,require,要求；需求；需,"require, requires",重点熟悉,27,17
223,able,有能力的；能够；能,able,重点熟悉,27,16
224,class,班级；类；阶级,class,重点熟悉,27,15
225,few,很少；少数；少,few,重点熟悉,27,15
226,member,成员；会员；构件,"member, members",重点熟悉,27,15
227,buy,买；购买；收购,"buy, buying, buys",重点熟悉,27,14
228,difference,不同之处；差分；差异,"difference, differences",重点熟悉,27,14
229,follow,跟随；遵循；追随,"follow, followed, follows",重点熟悉,27,14
230,issue,问题；发出；发行,"issue, issues",重点熟悉,27,14
231,practice,实践；练习；练,"practice, practices",重点熟悉,27,13
232,survey,民意调查；调查；测量,"survey, surveyed, surveys",重点熟悉,27,13
233,performance,表现；性能；表演,"performance, performances",重点熟悉,27,12
234,early,早期的；早；初,early,重点熟悉,27,11
235,value,价值；值；价格,"value, values",重点熟悉,27,10
236,walk,走；步行；走路,"walk, walked, walking, walks",重点熟悉,27,10
237,red,红色的；红；赤,red,可以积累,27,7
238,limit,限制；限；限定,"limit, limited, limiting, limits",重点熟悉,26,20
239,month,月；月份,"month, months",重点熟悉,26,17
240,challenge,挑战；盘问；搦战,"challenge, challenges",重点熟悉,26,15
241,happen,发生；碰巧；正好,"happen, happened, happening, happens",重点熟悉,26,14
242,individual,个人；个别；个体,"individual, individuals",重点熟悉,26,14
243,positive,积极的；正；积极,positive,重点熟悉,26,14
244,society,社会；学会；协会,"society, societies",重点熟悉,26,14
245,tell,告诉；诉说；说,"tell, tells",重点熟悉,26,14
246,energy,活力；能源；能量,energy,重点熟悉,26,12
247,pet,宠物；宠儿；不悦,"pet, pets",重点熟悉,26,10
248,drink,喝；喝酒；饮,"drink, drinking, drinks",可以积累,26,8
249,drug,药品；药物；药,"drug, drugs",可以积累,26,8
250,teenager,青少年；学童,teenagers,可以积累,26,6
251,once,一次；一旦；曾经,once,重点熟悉,25,20
252,put,放；放置；置于,"put, puts, putting",重点熟悉,25,17
253,taken,采取；取；拿,taken,重点熟悉,25,17
254,against,反对；针对；抵抗,against,重点熟悉,25,16
255,ago,前,ago,重点熟悉,25,16
256,fact,事实；实；景况,"fact, facts",重点熟悉,25,16
257,includ,包括,"included, including",重点熟悉,25,15
258,remain,保持；仍；留,"remain, remained, remaining, remains",重点熟悉,25,15
259,million,百万；兆,"million, millions",重点熟悉,25,14
260,week,星期；周,"week, weeks",重点熟悉,25,14
261,current,当前的；当前；现在,current,重点熟悉,25,13
262,major,主要的；主要；重大,"major, majoring, majors",重点熟悉,25,13
263,manager,经理；管理员；经纪,"manager, managers",重点熟悉,25,13
264,opportunity,机会；机遇；时机,"opportunity, opportunities",重点熟悉,25,12
265,must,必须；务必；要,must,重点熟悉,25,11
266,fashion,时尚；方式；方法,"fashion, fashioned, fashions",可以积累,25,9
267,male,男性；男；公,male,可以积累,25,8
268,driver,司机；螺丝刀；开车人,"driver, drivers",可以积累,25,7
269,busy,忙碌的；忙；繁忙,busy,可以积累,25,5
270,amount,数量；量；等于,"amount, amounts",重点熟悉,24,17
271,chance,机会；偶然；偶然性,"chance, chances",重点熟悉,24,17
272,daily,日常的；每日；日常,daily,重点熟悉,24,15
273,least,至少；最小；最少,least,重点熟悉,24,15
274,thought,想法；思想；思维,"thought, thoughts",重点熟悉,24,15
275,travel,旅行；旅游；行程,"travel, traveled, traveling, travels",重点熟悉,24,15
276,role,角色；任务；角,"role, roles",重点熟悉,24,14
277,potential,潜在的；潜在；潜力,potential,重点熟悉,24,13
278,vegetable,蔬菜；蔬；素,"vegetable, vegetables",重点熟悉,24,12
279,successful,成功的；完满；优胜,successful,重点熟悉,24,10
280,college,大学；学院；院,"college, colleges",可以积累,24,9
281,house,房子；屋；住宅,"house, houses",可以积累,24,9
282,sugar,糖；糖食；弄甜点,"sugar, sugars",可以积累,24,7
283,dog,狗；犬；坏蛋,"dog, dogs",可以积累,24,6
284,yes,是的；对；诺,yes,可以积累,24,6
285,sign,符号；标志；迹象,"sign, signing, signs",重点熟悉,23,16
286,enough,足够的；足够；足以,enough,重点熟悉,23,15
287,lower,降低；放低；降下,"lower, lowering",重点熟悉,23,15
288,though,,though,重点熟悉,23,15
289,access,使用权；访问；接驳,access,重点熟悉,23,14
290,economic,经济的；经济；实用的,"economic, economics",重点熟悉,23,14
291,meet,见面；满足；见,"meet, meeting, meets",重点熟悉,23,14
292,america,美国；美洲；新大陆,america,重点熟悉,23,13
293,achieve,达到；实现；做到,achieve,重点熟悉,23,12
294,communication,沟通；通讯；交通,communication,重点熟悉,23,11
295,type,类型；型；式,"type, types",重点熟悉,23,11
296,medicine,药品；医学；医药,"medicine, medicines",可以积累,23,9
297,mental,精神的；心理；智力的,mental,可以积累,23,8
298,easy,简单的；容易；易,easy,重点熟悉,22,16
299,case,案件；外壳；例,"case, cases",重点熟悉,22,15
300,interact,相互影响；相互作用；幕间休息,"interact, interacting, interacts",重点熟悉,22,15
