序号,重点词汇,总出现次数,覆盖真题套数,常见词形,备考建议
61,keep,47,23,"keep, keeping, keeps",重点熟悉
62,healthy,47,18,healthy,重点熟悉
63,information,47,15,information,重点熟悉
64,water,47,9,"water, waters",重点熟悉
65,consider,46,24,"consider, considered, considering, considers",重点熟悉
66,enjoy,45,21,"enjoy, enjoyed, enjoying, enjoys",重点熟悉
67,example,45,20,"example, examples",重点熟悉
68,however,45,20,however,重点熟悉
69,risk,45,18,"risk, risks",重点熟悉
70,effect,45,17,"effect, effects",重点熟悉
71,relationship,45,17,"relationship, relationships",重点熟悉
72,scientist,45,16,"scientist, scientists",重点熟悉
73,team,45,16,"team, teams",重点熟悉
74,worker,45,14,"worker, workers",重点熟悉
75,protein,45,6,"protein, proteins",重点熟悉
76,music,45,5,music,重点熟悉
77,develop,44,20,"develop, developed, developing",重点熟悉
78,spend,44,18,"spend, spending, spends",重点熟悉
79,place,44,17,"place, places",重点熟悉
80,habit,44,16,"habit, habits",重点熟悉
81,culture,44,15,"culture, cultures",重点熟悉
82,task,44,14,"task, tasks",重点熟悉
83,end,43,21,"end, ended, ending, ends",重点熟悉
84,city,43,16,"city, cities",重点熟悉
85,product,43,16,"product, products",重点熟悉
86,car,43,12,"car, cared, caring, cars",重点熟悉
87,actually,42,21,actually,重点熟悉
88,avoid,42,20,"avoid, avoided, avoiding",重点熟悉
89,control,42,11,"control, controlled, controlling, controls",重点熟悉
90,grow,41,19,"grow, growing, grows",重点熟悉
91,university,41,18,"university, universities",重点熟悉
92,game,41,13,"game, games",重点熟悉
93,fruit,41,10,"fruit, fruits",重点熟悉
94,age,40,18,"age, ageing, ages",重点熟悉
95,country,40,12,"country, countries",重点熟悉
96,meat,40,9,"meat, meats",重点熟悉
97,allow,39,22,"allow, allowed, allowing, allows",重点熟悉
98,quality,39,19,"quality, qualities",重点熟悉
99,improve,39,18,"improve, improves",重点熟悉
100,right,39,16,"right, rights",重点熟悉
101,parent,39,14,"parent, parenting, parents",重点熟悉
102,among,38,21,among,重点熟悉
103,greater,38,21,greater,重点熟悉
104,provide,38,21,"provide, provides",重点熟悉
105,great,38,20,great,重点熟悉
106,believe,38,19,"believe, believes",重点熟悉
107,ability,38,17,"ability, abilities",重点熟悉
108,affect,38,17,"affect, affected, affecting, affects",重点熟悉
109,reason,38,17,"reason, reasoned, reasoning, reasons",重点熟悉
110,exercise,38,14,"exercise, exercises",重点熟悉
111,office,38,13,"office, offices",重点熟悉
112,space,38,13,"space, spaces",重点熟悉
113,system,38,13,"system, systems",重点熟悉
114,engineer,38,8,"engineer, engineering, engineers",可以积累
115,possible,37,20,possible,重点熟悉
116,focus,37,19,"focus, focused, focusing",重点熟悉
117,impact,37,17,"impact, impacted, impacting, impacts",重点熟悉
118,career,37,15,"career, careers",重点熟悉
119,activity,37,14,"activity, activities",重点熟悉
120,adult,37,12,"adult, adults",重点熟悉
121,science,37,11,"science, sciences",重点熟悉
122,fund,37,10,"fund, funded, funding, funds",重点熟悉
123,dream,37,9,"dream, dreamed, dreaming, dreams",可以积累
124,test,36,12,"test, tested, testing, tests",重点熟悉
125,give,35,22,"give, gives",重点熟悉
126,level,35,21,"level, leveled, levels",重点熟悉
127,create,35,18,"create, creates",重点熟悉
128,local,35,18,"local, locals",重点熟悉
129,support,35,18,"support, supported, supporting, supports",重点熟悉
130,form,35,17,"form, formed, forming, forms",重点熟悉
131,set,35,17,"set, sets, setting",重点熟悉
132,course,35,16,"course, courses",重点熟悉
133,offer,35,15,"offer, offered, offering, offers",重点熟悉
134,data,35,14,data,重点熟悉
135,hand,35,14,"hand, handed, hands",重点熟悉
136,traditional,35,14,traditional,重点熟悉
137,state,35,13,"state, states",重点熟悉
138,natural,35,12,natural,重点熟悉
139,obesity,35,7,obesity,可以积累
140,teen,35,5,teens,可以积累
141,contribute,34,19,"contribute, contributed, contributes, contributing",重点熟悉
142,recent,34,19,recent,重点熟悉
143,reduce,34,19,"reduce, reduces",重点熟悉
144,group,34,18,"group, groups",重点熟悉
145,old,34,17,"old, olds",重点熟悉
146,rather,34,17,rather,重点熟悉
147,industry,34,16,"industry, industries",重点熟悉
148,young,34,15,young,重点熟悉
149,have,34,14,having,重点熟悉
150,train,34,14,"train, trained, training",重点熟悉
151,sport,34,12,"sport, sporting, sports",重点熟悉
152,employer,34,10,"employer, employers",重点熟悉
153,participant,34,10,participants,重点熟悉
154,fish,34,5,"fish, fishing",可以积累
155,stay,33,21,"stay, stayed, staying",重点熟悉
156,last,33,19,"last, lasted, lasting",重点熟悉
157,close,33,17,"close, closed, closing",重点熟悉
158,away,33,16,away,重点熟悉
159,heart,33,16,"heart, hearted, hearts",重点熟悉
160,open,33,16,"open, opened, opening, opens",重点熟悉
161,poor,33,16,poor,重点熟悉
162,farm,33,9,"farm, farmed, farming, farms",可以积累
163,seem,32,21,"seem, seemed, seeming, seems",重点熟悉
164,turn,32,20,"turn, turned, turning, turns",重点熟悉
165,attention,32,19,attention,重点熟悉
166,big,32,19,big,重点熟悉
167,effort,32,18,"effort, efforts",重点熟悉
168,expert,32,15,"expert, experts",重点熟悉
169,longer,32,15,longer,重点熟悉
170,process,32,15,process,重点熟悉
171,knowledge,32,13,knowledge,重点熟悉
172,language,32,12,"language, languages",重点熟悉
173,physical,32,11,physical,重点熟悉
174,customer,32,9,"customer, customers",可以积累
175,emotional,32,9,emotional,可以积累
176,move,31,18,"move, moved, moves, moving",重点熟悉
177,bring,31,17,"bring, bringing, brings",重点熟悉
178,care,31,15,care,重点熟悉
179,friend,31,15,"friend, friends",重点熟悉
180,hour,31,15,"hour, hours",重点熟悉
181,personal,31,15,personal,重点熟悉
182,present,31,15,"present, presented, presenting, presents",重点熟悉
183,rate,31,14,"rate, rates",重点熟悉
184,word,31,14,"word, wording, words",重点熟悉
185,price,31,12,"price, prices",重点熟悉
186,difficult,30,17,difficult,重点熟悉
187,person,30,17,"person, persons",重点熟悉
188,lack,30,16,"lack, lacking, lacks",重点熟悉
189,environment,30,15,"environment, environments",重点熟悉
190,average,30,14,average,重点熟悉
191,percent,30,14,percent,重点熟悉
192,connection,30,11,"connection, connections",重点熟悉
193,restaurant,30,9,"restaurant, restaurants",可以积累
194,expect,29,17,"expect, expected, expecting, expects",重点熟悉
195,popular,29,17,popular,重点熟悉
196,toward,29,17,"toward, towards",重点熟悉
197,sense,29,15,sense,重点熟悉
198,concern,29,14,"concern, concerned, concerning, concerns",重点熟悉
199,real,29,14,real,重点熟悉
200,consumer,29,13,"consumer, consumers",重点熟悉
201,decade,29,13,"decade, decades",重点熟悉
202,low,29,13,low,重点熟悉
203,power,29,13,"power, powered, powers",重点熟悉
204,drive,29,12,"drive, drives, driving",重点熟悉
205,plant,29,8,"plant, planting, plants",可以积累
206,gender,29,7,"gender, genders",可以积累
207,genetic,29,5,"genetic, genetics",可以积累
208,enable,28,16,"enable, enables",重点熟悉
209,hard,28,16,hard,重点熟悉
210,him,28,14,him,重点熟悉
211,point,28,14,"point, pointed, pointing, points",重点熟悉
212,account,28,13,"account, accounted, accounts",重点熟悉
213,body,28,13,"body, bodies",重点熟悉
214,growth,28,13,growth,重点熟悉
215,market,28,13,"market, marketing, markets",重点熟悉
216,leave,28,10,"leave, leaves",重点熟悉
217,website,28,8,"website, websites",可以积累
218,view,27,20,"view, viewed, viewing, views",重点熟悉
219,higher,27,18,higher,重点熟悉
220,since,27,18,since,重点熟悉
221,suffer,27,18,"suffer, suffered, suffering, suffers",重点熟悉
222,require,27,17,"require, requires",重点熟悉
223,able,27,16,able,重点熟悉
224,class,27,15,class,重点熟悉
225,few,27,15,few,重点熟悉
226,member,27,15,"member, members",重点熟悉
227,buy,27,14,"buy, buying, buys",重点熟悉
228,difference,27,14,"difference, differences",重点熟悉
229,follow,27,14,"follow, followed, follows",重点熟悉
230,issue,27,14,"issue, issues",重点熟悉
231,practice,27,13,"practice, practices",重点熟悉
232,survey,27,13,"survey, surveyed, surveys",重点熟悉
233,performance,27,12,"performance, performances",重点熟悉
234,early,27,11,early,重点熟悉
235,value,27,10,"value, values",重点熟悉
236,walk,27,10,"walk, walked, walking, walks",重点熟悉
237,red,27,7,red,可以积累
238,limit,26,20,"limit, limited, limiting, limits",重点熟悉
239,month,26,17,"month, months",重点熟悉
240,challenge,26,15,"challenge, challenges",重点熟悉
241,happen,26,14,"happen, happened, happening, happens",重点熟悉
242,individual,26,14,"individual, individuals",重点熟悉
243,positive,26,14,positive,重点熟悉
244,society,26,14,"society, societies",重点熟悉
245,tell,26,14,"tell, tells",重点熟悉
246,energy,26,12,energy,重点熟悉
247,pet,26,10,"pet, pets",重点熟悉
248,drink,26,8,"drink, drinking, drinks",可以积累
249,drug,26,8,"drug, drugs",可以积累
250,teenager,26,6,teenagers,可以积累
251,once,25,20,once,重点熟悉
252,put,25,17,"put, puts, putting",重点熟悉
253,taken,25,17,taken,重点熟悉
254,against,25,16,against,重点熟悉
255,ago,25,16,ago,重点熟悉
256,fact,25,16,"fact, facts",重点熟悉
257,includ,25,15,"included, including",重点熟悉
258,remain,25,15,"remain, remained, remaining, remains",重点熟悉
259,million,25,14,"million, millions",重点熟悉
260,week,25,14,"week, weeks",重点熟悉
261,current,25,13,current,重点熟悉
262,major,25,13,"major, majoring, majors",重点熟悉
263,manager,25,13,"manager, managers",重点熟悉
264,opportunity,25,12,"opportunity, opportunities",重点熟悉
265,must,25,11,must,重点熟悉
266,fashion,25,9,"fashion, fashioned, fashions",可以积累
267,male,25,8,male,可以积累
268,driver,25,7,"driver, drivers",可以积累
269,busy,25,5,busy,可以积累
270,amount,24,17,"amount, amounts",重点熟悉
271,chance,24,17,"chance, chances",重点熟悉
272,daily,24,15,daily,重点熟悉
273,least,24,15,least,重点熟悉
274,thought,24,15,"thought, thoughts",重点熟悉
275,travel,24,15,"travel, traveled, traveling, travels",重点熟悉
276,role,24,14,"role, roles",重点熟悉
277,potential,24,13,potential,重点熟悉
278,vegetable,24,12,"vegetable, vegetables",重点熟悉
279,successful,24,10,successful,重点熟悉
280,college,24,9,"college, colleges",可以积累
281,house,24,9,"house, houses",可以积累
282,sugar,24,7,"sugar, sugars",可以积累
283,dog,24,6,"dog, dogs",可以积累
284,yes,24,6,yes,可以积累
285,sign,23,16,"sign, signing, signs",重点熟悉
286,enough,23,15,enough,重点熟悉
287,lower,23,15,"lower, lowering",重点熟悉
288,though,23,15,though,重点熟悉
289,access,23,14,access,重点熟悉
290,economic,23,14,"economic, economics",重点熟悉
291,meet,23,14,"meet, meeting, meets",重点熟悉
292,america,23,13,america,重点熟悉
293,achieve,23,12,achieve,重点熟悉
294,communication,23,11,communication,重点熟悉
295,type,23,11,"type, types",重点熟悉
296,medicine,23,9,"medicine, medicines",可以积累
297,mental,23,8,mental,可以积累
298,easy,22,16,easy,重点熟悉
299,case,22,15,"case, cases",重点熟悉
300,interact,22,15,"interact, interacting, interacts",重点熟悉
